file,ID,titleStmt_author,titleStmt_title,author_birth,author_death,titleStmt_author_viaf,firstEdition_date,titleStmt_title_viaf,language,words,authorGender,size,reprintCount,timeSlot
SRP18752_PeraR_BezOcaMajke.xml,SRP18752,"Радуловић, Пера ",Без оца и мајке : ELTeC издање,????,?,wikidata:Q108839327,1875,wikidata:Q109303301,српски,29321,M,short,low,T2
SRP18760_DjuraJ_CicaTima.xml,SRP18760,"Јакшић, Ђура ",Чича Тима : приповетка из учитељског живота : ELTeC издање,1832,1878,viaf:47570198 wikidata:Q109336256,1876,wikidata:Q109336256,српски,29793,M,short,low,T2
SRP18780_BrankoM_PredZoru.xml,SRP18780,"Михајловић, Бранко [Љубиша Бранковић] ",Пред зору : роман у два дела : ELTeC издање,1857,1918,viaf:85154625 wikidata:Q108839328,1878,wikidata:Q109336227,српски,57165,M,medium,low,T2
SRP18790_MilanDjM_JurmusaFatima.xml,SRP18790,"Милићевић, Милан Ђ. ",Јурмуса и Фатима или Турска сила сама себе једе: прича о ослобођењу шест округа 1832-1834 : ELTeC издање,1831,1908,viaf:64038897 wikidata:Q2980829,1879,wikidata:Q109336091,српски,18012,M,short,low,T2
SRP18791_KostaB_PastirKralj.xml,SRP18791,"Барунчић, Коста ",Пастир краљ или Ослобођење Србије : историјска приповетка / написао К. Б. : ELTeC издање,????,?,wikidata:Q108983662,1879,wikidata:Q109336116,српски,32447,M,short,low,T2
SRP18792_MilanDjM_Hajduci.xml,SRP18792,"Милићевић, Милан Ђ. ",Хајдуци : биљешке с пута по Рујну : ELTeC издање,1831,1908,viaf:64038897 wikidata:Q2980829,1879,wikidata:Q110814337,српски,13096,M,short,low,T2
SRP18793_JovanJ_LjubavPatriot.xml,SRP18793,"Јеремић, Јован ",Љубав и патриотизам : ELTeC издање,1860,1931,viaf:235008989 wikidata:Q110813745,1879,wikidata:Q110814768,српски,10304,M,short,low,T2
SRP18800_DragocenaOgrlica.xml,SRP18800,"Комарчић, Лазар ",Драгоцена огрлица: прича у своје време : ELTeC издање,1833,1909,viaf:14831335 wikidata:Q12754437,1880,wikidata:Q109336073,српски,51104,M,medium,low,T3
SRP18840_DraginjaG_IzUcitZivota.xml,SRP18840,"Гавриловић, Драга ",Из учитељичког живота : ELTeC издање,1854,1917,viaf:17281658 wikidata:Q31181207,1884,wikidata:Q109336083,српски,18652,F,short,high,T3
SRP18860_MilanDjM_OmerCelebija.xml,SRP18860,"Милићевић, Милан Ђ. ",Омер Челебија : приповијетка из живота српскога народа : ELTeC издање,1831,1908,viaf:64038897 wikidata:Q2980829,1886,wikidata:Q109336114,српски,33284,M,short,low,T3
SRP18870_DraginjaG_Babadevojka.xml,SRP18870,"Гавриловић, Драга ",Бабадевојка : ELTeC издање,1854,1917,viaf:17281658 wikidata:Q31181207,1887,wikidata:Q109303299,српски,19350,F,short,high,T3
